Type	Gene	
Blood	DUSP14	
Blood	SART3	
Blood	SNX9	
Blood	RAB29	
Blood	ZCCHC11	
Blood	CCND2	
Blood	FOXK1	
Blood	FAN1	
Blood	SYNE2	
Blood	AGK	
Blood	SGSM1	
Blood	GEMIN8	
Blood	MDC 1.00	
Blood	ZC3H8	
Blood	PCM1	
Blood	TLE1	
Blood	GKAP1	
Blood	KLHDC4	
Blood	CCL28	
Blood	ESYT1	
Blood	CNKSR2	
Blood	BAG2	
Blood	DUSP16	
Blood	ADRB2	
Blood	SPINK2	
Blood	EXOSC6	
Blood	LOC286071	
Blood	HAUS5	
Blood	GABPB2	
Blood	OPTN	
Blood	RBL2	
Blood	CD247	
Blood	ZNF789	
Blood	BCCIP	
Blood	GSDMB	
Blood	IKZF1	
Blood	SEMA4F	
Blood	OGFOD1	
Blood	P2RY10	
Blood	NDNL2	
Blood	ATF7IP	
Blood	DPH5	
Blood	ZNF883	
Blood	SSBP3	
Blood	FBXO21	
Blood	ZNF286A	
Blood	HABP4	
Blood	VPRBP	
Blood	DIP2A	
Blood	LRCH3	
Blood	EVL	
Blood	CCDC180	
Blood	LCN10	
Blood	ZNF519	
Blood	CXCR3	
Blood	TDP1	
Blood	TMEM14A	
Blood	PCYOX1	
Blood	ABHD14A	
Blood	FYCO1	
Blood	UXS1	
Blood	TMEM116	
Blood	NOM1	
Blood	ADARB1	
Blood	CBLL1	
Blood	RGS5	
Blood	LRP6	
Blood	FZD3	
Blood	PNPLA4	
Blood	PP7080	
Blood	PRPS1	
Blood	LARS2	
Blood	AP3M2	
Blood	THUMPD1	
Blood	IPO9	
Blood	FAF1	
Blood	MMAA	
Blood	TRAPPC2	
Blood	CMSS1	
Blood	LINC00342	
Blood	MTR	
Blood	ZNF782	
Blood	ZNF430	
Blood	TNFAIP8L1	
Blood	ALDH18A1	
Blood	BMPR1A	
Blood	PFAS	
Blood	MPRIP	
Blood	FKBP14	
Blood	TMEM117	
Blood	MYO9A	
Blood	CDC25B	
Blood	ORMDL3	
Blood	ZNF829	
Blood	C12orf65	
Blood	DISP1	
Blood	PJA1	
Blood	PARM1	
Blood	MORC2	
Blood	C12orf73	
Blood	DLG3	
Blood	CLYBL	
Blood	CYB5B	
Blood	P2RY8	
Blood	CATSPER2	
Blood	PDP2	
Blood	POLH	
Blood	ARL17A	
Blood	ZFP82	
Blood	PRKCA	
Blood	ARID1B	
Blood	MYBBP1A	
Blood	ZNF391	
Blood	ALG9	
Blood	TRMT10B	
Blood	COG2	
Blood	ATXN7L3B	
Blood	BEND4	
Blood	C12orf42	
Blood	RSBN1	
Blood	FAM210A	
Blood	PUM1	
Blood	RAD51-AS1	
Blood	HHLA3	
Blood	ZNF835	
Blood	QSOX2	
Blood	CTPS2	
Blood	TIMELESS	
Blood	MSANTD3	
Blood	PDCD2L	
Blood	TECR	
Blood	NUTM2A-AS1	
Blood	ANXA2R	
Blood	UBIAD1	
Blood	ZNF667	
Blood	ZNF850	
Blood	BBS4	
Blood	INPP5E	
Blood	NUCKS1	
Blood	TRBC1	
Blood	GPATCH8	
Blood	HP1BP3	
Blood	MUM1	
Blood	ZC3H6	
Blood	WHAMM	
Blood	CLOCK	
Blood	GNPNAT1	
Blood	TMEM156	
Blood	ABHD15	
Blood	ERMP1	
Blood	MAGEF1	
Blood	PHLPP2	
Blood	ADAMTS17	
Blood	ADNP2	
Blood	SLC26A11	
Blood	TIMM22	
Blood	RASA3	
Blood	KIAA2026	
Blood	CCDC85C	
Blood	NFATC2IP	
Blood	RNASEH1-AS1	
Blood	CD2	
Blood	HNRNPU	
Blood	C14orf1	
Blood	TMEM25	
Blood	TRAP1	
Blood	LINC00965	
Blood	MTMR1	
Blood	LOC154761	
Blood	ZNF165	
Blood	GEMIN5	
Blood	SKI	
Blood	EPHA1	
Blood	OTUD7B	
Blood	MGA	
Blood	RHEBL1	
Blood	ZFYVE28	
Blood	IDNK	
Blood	SRRM1	
Blood	PMS2P5	
Blood	LIMS1	
Blood	C17orf67	
Blood	MARS2	
Blood	C2orf44	
Blood	TIMM21	
Blood	HEXA	
Blood	SIRT4	
Blood	LIG1	
Blood	PPP1R3E	
Blood	TTC27	
Blood	IL23R	
Blood	DHODH	
Blood	ATIC	
Blood	SYCE1L	
Blood	EZR	
Blood	ZNF717	
Blood	URB1	
Blood	SMC1A	
Blood	MBTPS1	
Blood	EMC1	
Blood	RCL1	
Blood	ZNF786	
Blood	C21orf2	
Blood	ZNF662	
Blood	WDR59	
Blood	TRPM7	
Blood	ZSCAN25	
Blood	ZNF275	
Blood	HERPUD2	
Blood	GRIP1	
Blood	ADHFE1	
Blood	SYBU	
Blood	MCPH1	
Blood	FTSJ1	
Blood	NCOA5	
Blood	CHD3	
Blood	DCLK2	
Blood	CCDC7	
Blood	MAGED1	
Blood	ATP6V0A2	
Blood	IFFO2	
Blood	PARP16	
Blood	SLC35F2	
Blood	RNF214	
Blood	CYP2U1	
Blood	CTLA4	
Blood	TIAM1	
Blood	FBXO31	
Blood	LOC202181	
Blood	SLC4A5	
Blood	PSTK	
Blood	DANCR	
Blood	SMYD4	
Blood	SFXN2	
Blood	NEIL2	
Blood	C1orf145	
Blood	ZNF512	
Blood	ZNF544	
Blood	ELAVL1	
Blood	SHMT1	
Blood	NTPCR	
Blood	TMEM109	
Blood	FUT8-AS1	
Blood	SCAMP1-AS1	
Blood	RBAK	
Blood	HPS4	
Blood	IFT57	
Blood	GOLPH3L	
