Type	Gene	
Blood	AGFG1	
Blood	PTAFR	
Blood	BID	
Blood	ISL2	
Blood	MTMR11	
Blood	SH3PXD2B	
Blood	IGSF6	
Blood	WARS	
Blood	PIK3CB	
Blood	CRTAP	
Blood	DPCD	
Blood	FXYD6	
Blood	LETM2	
Blood	NUP50	
Blood	GAB2	
Blood	CPPED1	
Blood	HIST1H2BE	
Blood	NMNAT1	
Blood	EIF4EBP1	
Blood	ADORA2B	
Blood	MSRB3	
Blood	OPLAH	
Blood	LRG1	
Blood	REEP5	
Blood	FAM110B	
Blood	KIAA1958	
Blood	DENND1A	
Blood	PRKCD	
Blood	LOC101928429	
Blood	LRRFIP1	
Blood	LACC1	
Blood	GNAQ	
Blood	IRS2	
Blood	TMCC1	
Blood	KPNA4	
Blood	RAB3D	
Blood	CD101	
Blood	FNIP1	
Blood	SNAP23	
Blood	TCN2	
Blood	HGF	
Blood	PXK	
Blood	UHRF1BP1L	
Blood	STAM2	
Blood	CPAMD8	
Blood	CD58	
Blood	GPER1	
Blood	METTL7B	
Blood	HOOK3	
Blood	MAFB	
Blood	CPEB2	
Blood	GLA	
Blood	MAP3K8	
Blood	ago4	
Blood	ACSL1	
Blood	NUP50-AS1	
Blood	ATP6V1D	
Blood	APC	
Blood	BCAT1	
Blood	STXBP3	
Blood	NQO2	
Blood	DHRS7B	
Blood	DDIT3	
Blood	FCGR2C	
Blood	PCNX	
Blood	PDK3	
Blood	CARD9	
Blood	ECT2	
Blood	S100Z	
Blood	CEP63	
Blood	GNA15	
Blood	MAP2K6	
Blood	PDLIM5	
Blood	SYNJ1	
Blood	STX11	
Blood	LHFPL2	
Blood	DAPK1	
Blood	NFIL3	
Blood	PLXNC1	
Blood	BROX	
Blood	EGLN1	
Blood	ASRGL1	
Blood	FCAR	
Blood	LOC729083	
Blood	EVI5	
Blood	SIGLEC5	
Blood	RNF141	
Blood	CSF2RA	
Blood	STS	
Blood	CPM	
Blood	BST1	
Blood	HOMER3	
Blood	HSPA6	
Blood	LILRB4	
Blood	PFKFB4	
Blood	PPP1R3D	
Blood	CYBB	
Blood	TKT	
Blood	TREML3P	
Blood	ZFYVE16	
Blood	HIST1H1T	
Blood	NCF4	
Blood	DNTTIP1	
Blood	DGKG	
Blood	JAK2	
Blood	SLC36A1	
Blood	FYB	
Blood	RCAN1	
Blood	RELL1	
Blood	NIN	
Blood	HES1	
Blood	SLC22A16	
Blood	AP5B1	
Blood	ADAP2	
Blood	RP2	
Blood	LINC01094	
Blood	SULT1B1	
Blood	MIR4435-1HG	
Blood	BACH1	
Blood	HOTAIRM1	
Blood	FOXN2	
Blood	CETP	
Blood	DCP2	
Blood	OSGIN2	
Blood	SIRPB2	
Blood	ZNF438	
Blood	MARCKS	
Blood	MSRB2	
Blood	KLF4	
Blood	GK3P	
Blood	GPATCH2L	
Blood	APCDD1	
Blood	HIST1H2BH	
Blood	BLVRA	
Blood	ACPP	
Blood	MBOAT2	
Blood	B3GNT8	
Blood	BEX1	
Blood	ATG7	
Blood	TNNI2	
Blood	ADRBK2	
Blood	SEMA3C	
Blood	ARFIP1	
Blood	LYST	
Blood	HEBP2	
Blood	OSBPL1A	
Blood	ELL2	
Blood	PTPRE	
Blood	RIN2	
Blood	TP53I3	
Blood	SIRPD	
Blood	STAB1	
Blood	FES	
Blood	CTNNA1	
Blood	PLAUR	
Blood	GNB4	
Blood	NAIP	
Blood	SPATA6	
Blood	GAS7	
Blood	AGTRAP	
Blood	ARRDC4	
Blood	ARSB	
Blood	DAPP1	
Blood	KIF1B	
Blood	RAB27A	
Blood	CLIC4	
Blood	EMILIN2	
Blood	OR52K3P	
Blood	RNF24	
Blood	FADS1	
Blood	DHRS9	
Blood	DENND3	
Blood	DICER1	
Blood	ADM	
Blood	SRD5A3	
Blood	ADAM9	
Blood	CAT	
Blood	CCDC125	
Blood	SERPINB1	
Blood	LDLRAD3	
Blood	DUSP1	
Blood	RAB8B	
Blood	FPR2	
Blood	PLBD1	
Blood	DUSP3	
Blood	NME8	
Blood	PICALM	
Blood	XRCC4	
Blood	GLT1D1	
Blood	HAL	
Blood	LACTB	
Blood	RC3H1	
Blood	NLN	
Blood	KCNMB1	
Blood	ECRP	
Blood	IMPA2	
Blood	SLC40A1	
Blood	LY96	
Blood	TYMP	
Blood	CYSTM1	
Blood	ARHGEF40	
Blood	CMTM2	
Blood	PROS1	
Blood	ZCCHC6	
Blood	CLEC1B	
Blood	RRAGD	
Blood	FLVCR2	
Blood	KIF13A	
Blood	IQGAP2	
Blood	RASSF4	
Blood	MARC1	
Blood	HIST1H1C	
Blood	LOC100130938	
Blood	RBP7	
Blood	COL4A3BP	
Blood	OASL	
Blood	MCL1	
Blood	RIT1	
Blood	TBXAS1	
Blood	EMR1	
Blood	TET2	
Blood	MB21D1	
Blood	CREB5	
Blood	STAT1	
Blood	KYNU	
Blood	TREM1	
Blood	LIN7A	
Blood	CPD	
Blood	RAB13	
Blood	SLC22A4	
Blood	RAB31	
Blood	IGF2BP3	
Blood	ECHDC3	
Blood	KCNE3	
Blood	FAR2	
Blood	ABHD5	
Blood	WDFY3	
Blood	EPB41L3	
Blood	RRM2	
Blood	ACSL4	
Blood	PELI1	
Blood	SMARCD3	
Blood	WLS	
Blood	C10orf11	
Blood	HNMT	
Blood	VCAN	
Blood	HIST1H2BD	
Blood	SEMA4A	
Blood	LPCAT2	
Blood	MXD1	
Blood	TNNT1	
Blood	RNF144B	
Blood	NHS	
Blood	MCEMP1	
Blood	PLXDC2	
Blood	ADORA3	
Blood	IL1R2	
Blood	TDRD9	
Blood	TLR5	
Blood	TLR4	
Blood	LCN2	
Blood	LOC731424	
Blood	HIPK3	
Blood	MPO	
Blood	RNASE2	
Blood	DACH1	
Blood	ANG	
Blood	ENTPD1	
Blood	FKBP1A	
Blood	LRRC6	
Blood	CLEC4E	
Blood	CLEC12A	
Blood	DMXL2	
Blood	ASGR2	
Blood	CAMP	
Blood	REPS2	
Blood	LTF	
Blood	LINC01410	
Blood	CTSG	
Blood	CYP1B1	
Blood	CD302	
Blood	SIPA1L2	
Blood	IFIT2	
Blood	BPI	
Blood	S100P	
Blood	TNFAIP6	
Blood	HP	
Blood	CEACAM6	
Blood	TMEM144	
Blood	CLEC4D	
Blood	IFIT1	
Blood	RNASE3	
Blood	ANKRD22	
Blood	CEACAM8	
Blood	PRRG4	
Blood	SLC8A1	
Blood	LINC01127	
Blood	MS4A4A	
Blood	FCGR1B	
Blood	DSC2	
Blood	FCGR1A	
Lung	TMEM100	
Lung	GPIHBP1	
Lung	LRRC46	
Lung	VIPR1	
Lung	CYP4B1	
Lung	GPM6B	
Lung	TEKT2	
Lung	TCEAL2	
Lung	KHDRBS3	
Lung	WFS1	
Lung	RASIP1	
Lung	HEY1	
Lung	SESN1	
Lung	GPR146	
Lung	GADD45G	
Lung	BLOC1S1	
Lung	CSPG4	
Lung	TLE2	
Lung	GIPC1	
Lung	SORBS3	
Lung	ICAM2	
Lung	CITED4	
Lung	PWWP2B	
Lung	SLC10A3	
Lung	COX7A1	
Lung	FGFR4	
Lung	RNF112	
Lung	NBEAL2	
Lung	SPRY2	
Lung	ATP5SL	
Lung	SGTA	
Lung	RGS19	
Lung	OSBPL5	
Lung	NUDT6	
Lung	PPCDC	
Lung	CPSF4	
Lung	TPST2	
Lung	ACADVL	
Lung	TRIP10	
Lung	RPS6KA1	
Lung	PCGF2	
Lung	RASL10B	
Lung	HECTD3	
Lung	ZNF511	
Lung	LEAP2	
Lung	GTF2IRD1	
Lung	ZNF16	
Lung	MYBBP1A	
Lung	PARP2	
Lung	SGSH	
Lung	UBE2V2	
Lung	MED9	
Lung	PRPF3	
Lung	SH3BP5L	
Lung	FBXO7	
Lung	ERAL1	
Lung	POP7	
Lung	DAZAP2	
Lung	HDAC2	
Lung	GRSF1	
Lung	DAXX	
Lung	MOGS	
Lung	TESK1	
Lung	INTS7	
Lung	KIF5A	
Lung	PRIM2	
Lung	FGF4	
Lung	ABHD13	
Lung	CDC25C	
Lung	ZNF484	
Lung	CAPRIN1	
Lung	SLIT1	
Lung	PTHLH	
Lung	FUT2	
Lung	TF	
Lung	LIG4	
Lung	RSRC1	
Lung	CENPM	
Lung	COCH	
Lung	COL17A1	
Lung	ADORA2B	
Lung	FANCD2	
Lung	RASA3	
Lung	RIPK2	
Lung	PTGES	
Lung	SLC16A2	
Lung	RAB27B	
Lung	GLDC	
Lung	PEX13	
Lung	DLGAP1	
Lung	ABCA4	
Lung	EN2	
Lung	ELOVL2	
Lung	TAF4B	
Lung	GNGT2	
Lung	MBOAT7	
Lung	FUT8	
Lung	EPHA3	
Lung	DNAJC6	
Lung	PLCL2	
Lung	TTC39C	
Lung	SENP5	
Lung	EYA2	
Lung	GM2A	
Lung	STAP1	
Lung	TNFRSF13B	
Lung	HS6ST1	
Lung	SLC6A12	
Lung	ST8SIA4	
Lung	PTPN22	
Lung	MAP2K6	
Lung	DOK5	
Lung	SEC24A	
Lung	SCG2	
Lung	ALDH1A2	
Lung	SERPINB5	
Lung	PTAFR	
Lung	OVOL1	
Lung	LRMP	
Lung	HK2	
Lung	PDE3B	
Lung	KBTBD8	
Lung	CALB2	
Lung	PVALB	
Lung	TMEM71	
Lung	ZBP1	
Lung	CLECL1	
Lung	HBB	
Lung	PLEK	
Lung	BDKRB2	
Lung	PNPLA3	
Lung	CYBB	
Lung	GADD45A	
Lung	ACE2	
Lung	EGFLAM	
Lung	CD22	
Lung	ARL5B	
Lung	MMP12	
Lung	CD163L1	
Lung	OAF	
Lung	RARRES1	
Lung	BHLHE40	
Lung	IGDCC4	
Lung	PDK1	
Lung	CD69	
Lung	HTRA4	
Lung	GPNMB	
Lung	MYC	
