CLEC4A
CD164
NRG1
CKLF
UBE2W
CASP5
CD302
ATG3
CLC
TMBIM4
ST3GAL6
KLHL8
BCL2A1
CD86
CLEC7A
GALNT1
HNMT
CMTM2
GOLIM4
PGM2
POLE4
IDH1
SPCS3
CCDC88A
LACC1
PLBD1
MDM2
ANKRD50
LY86
MAP2K6
KMT2C
MS4A4A
MTHFD2
ACSL4
KYNU
IQGAP2
RCAN1
GALC
SLC46A2
FGFR1OP2
TLR2
TMEM167A
PRLR
STAM2
CEP63
RELL1
MAP3K8
LINC00152
C19orf43
ST8SIA4
KIAA1109
RNF213
CYP1B1
DAPP1
PANK2
LACTB
CLEC12A
BMP2K
HIPK3
HFE
SPTLC1
ACTR2
SMCHD1
RNF130
CYBB
FAM49B
CLMN
PLD1
ARID4B
ATXN1
UGP2
ASPH
BTD
LY96
SLC30A6
GK
NIN
CMTM6
LPCAT2
MITF
DOCK11
PRCP
SLIRP
CBL
ZFYVE16
RPAP3
C10orf11
CTSS
ZEB2
ADORA2B
ALPK1
ERGIC2
TET2
OGFRL1
ZZEF1
ABHD5
ME2
CPVL
UBR4
BCAT1
ITSN1
GNB4
GPATCH2L
PDLIM5
VPS53
KSR1
UHRF1BP1L
TP53INP1
ZCCHC6
TPP1
SAR1A
DNAJA1
POLB
KDM6B
SLC40A1
SLC8A1
VTI1A
BST1
DNAJC3
PTGES
ARSB
LYST
COL4A3BP
PDK3
JAK2
TMTC2
RBM33
OAF
IL6R
GPCPD1
UBXN2B
CENPW
DYM
TNFAIP2
COPA
TMLHE
SPECC1
SH3GLB1
HDGFRP3
JMJD1C
FNDC3B
FYB
COPZ2
SMAD1
EIF4A1
ARNTL2
LRP1
RBM8A
TLR1
ABHD2
ZNF697
RAB27A
NSUN3
SLC31A1
EMILIN2
C9orf66
APAF1
RRBP1
SETD7
PGPEP1
GALNT4
FOXO3
AGO4
BCL2L11
TOP1
RSRC2
STX6
TMEM165
FCGR2C
RRM2
NEK6
LRRK1
PHTF1
NCF2
SLC43A2
CHST11
MNDA
ERC1
SMPDL3A
MCL1
MEX3D
EIF4G3
CDC5L
TMCO3
QPRT
MBOAT7
MKI67
IDS
SNAP23
BDKRB2
CMIP
SNAP29
CHI3L1
PTGER3
CSF2RA
KIDINS220
ANTXR2
CD101
LCP2
TAGAP
EPHB2
AGPAT3
RNASEL
HOMER3
AOAH
USP4
PPP1R15A
SPG11
MPZL1
MTMR3
MTF1
FCN1
LRRC59
PLXDC2
C1orf85
CREB1
ITPR2
FOSL2
ATP11A
RRAGD
EHBP1L1
DAPK1
STAT3
NPL
ACTN1
CACUL1
NFKBIZ
HGF
SYTL3
HDC
B4GALT1
FKBP15
NXPE3
RRAD
P2RX7
ICAM1
GADD45B
CR1
TNFRSF10C
DHRS9
HBB
CPSF1
SEC24D
SLC28A3
PTPRE
TREM1
CPPED1
NAGA
RARA-AS1
ARPIN
GPR161
SYK
ST3GAL2
TNFSF14
MAATS1
SLC51A
CLEC4G
NSF
DISC1
TRPS1
TTYH2
GM2A
BUB1
MYO7A
IL1R1
MSR1
CTSG
LINC00877
CHST15
PLCG2
APH1B
NAIP
SLC12A6
SUSD1
H2AFX
PAK1
KIAA1958
RCN3
MON1B
PLEKHO2
IFNAR1
RP11-295G20.2
PLK3
SLCO3A1
SLC6A6
SYAP1
CLPB
KLHL18
CPXM2
NHS
ACOX2
MAP3K5
PADI2
NOTCH2
CACNB4
FERMT1
VMO1
CDCA7
NACC2
KCNJ15
PRDM1
GRAMD4
PTGFRN
CHP1
AMPD2
MXD1
CORIN
CD300A
HMMR
PDE1B
KIF13A
ZNF106
SSMEM1
STK32B
ACTN3
ALAS1
TLR6
KCNQ1
OASL
COL17A1
MAP1LC3B2
TCP11L1
MICALCL
LILRB1
SMG7-AS1
PAFAH1B1
TREM2
LOC731424
GUCA1C
TIMP2
FOLR2
JMJD1C-AS1
RNF24
SEMA4A
DPEP3
SLC2A9
IER3
LRG1
P4HA3
CPQ
PIK3R6
RELT
PLAUR
GPR84
PYGL
FFAR2
TREML3P
PTAFR
VPS8
ELMSAN1
EFCAB4A
ZFP92
HSPA6
GSR
LILRA6
SCIMP
SLC8A1-AS1
OSTF1
LOC400043
TIMP1
LOC101929243
KIAA0319L
HSH2D
JUNB
KRT81
PTENP1
ZNF727
ZNF728
HIST1H2AD /// HIST1H3D
MIR612 /// NEAT1
BPI /// LOC149684
HIST1H2AG /// HIST1H2AH /// HIST1H2AI /// HIST1H2AK /// HIST1H2AL /// HIST1H2AM
ARHGEF4 /// LOC101930241
HIST1H4A /// HIST1H4B /// HIST1H4C /// HIST1H4D /// HIST1H4E /// HIST1H4F /// HIST1H4H /// HIST1H4I /// HIST1H4J /// HIST1H4K /// HIST1H4L /// HIST2H4A /// HIST2H4B /// HIST4H4
LOC254896 /// TNFRSF10C
LOC101927057 /// OMG
